Country Code,Country Name,Region,Income Group,Is Aggregate
ABW,Aruba,Latin America & Caribbean,High income,false
AFE,Africa Eastern and Southern,Aggregates,Aggregates,true
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,false
AFR,Africa,Aggregates,Aggregates,true
AFW,Africa Western and Central,Aggregates,Aggregates,true
AGO,Angola,Sub-Saharan Africa,Lower middle income,false
ALB,Albania,Europe & Central Asia,Upper middle income,false
AND,Andorra,Europe & Central Asia,High income,false
ARB,Arab World,Aggregates,Aggregates,true
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,false
ARG,Argentina,Latin America & Caribbean,Upper middle income,false
ARM,Armenia,Europe & Central Asia,Upper middle income,false
ASM,American Samoa,East Asia & Pacific,High income,false
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,false
AUS,Australia,East Asia & Pacific,High income,false
AUT,Austria,Europe & Central Asia,High income,false
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,false
BDI,Burundi,Sub-Saharan Africa,Low income,false
BEA,East Asia & Pacific (IBRD-only countries),Aggregates,Aggregates,true
BEC,Europe & Central Asia (IBRD-only countries),Aggregates,Aggregates,true
BEL,Belgium,Europe & Central Asia,High income,false
BEN,Benin,Sub-Saharan Africa,Lower middle income,false
BFA,Burkina Faso,Sub-Saharan Africa,Low income,false
BGD,Bangladesh,South Asia,Lower middle income,false
BGR,Bulgaria,Europe & Central Asia,High income,false
BHI,IBRD countries classified as high income,Aggregates,Aggregates,true
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,false
BHS,"Bahamas, The",Latin America & Caribbean,High income,false
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,false
BLA,Latin America & the Caribbean (IBRD-only countries),Aggregates,Aggregates,true
BLR,Belarus,Europe & Central Asia,Upper middle income,false
BLZ,Belize,Latin America & Caribbean,Upper middle income,false
BMN,"Middle East, North Africa, Afghanistan & Pakistan (IBRD only)",Aggregates,Aggregates,true
BMU,Bermuda,North America,High income,false
BOL,Bolivia,Latin America & Caribbean,Lower middle income,false
BRA,Brazil,Latin America & Caribbean,Upper middle income,false
BRB,Barbados,Latin America & Caribbean,High income,false
BRN,Brunei Darussalam,East Asia & Pacific,High income,false
BSS,Sub-Saharan Africa (IBRD-only countries),Aggregates,Aggregates,true
BTN,Bhutan,South Asia,Lower middle income,false
BWA,Botswana,Sub-Saharan Africa,Upper middle income,false
CAA,Sub-Saharan Africa (IFC classification),Aggregates,Aggregates,true
CAF,Central African Republic,Sub-Saharan Africa,Low income,false
CAN,Canada,North America,High income,false
CEA,East Asia and the Pacific (IFC classification),Aggregates,Aggregates,true
CEB,Central Europe and the Baltics,Aggregates,Aggregates,true
CEU,Europe and Central Asia (IFC classification),Aggregates,Aggregates,true
CHE,Switzerland,Europe & Central Asia,High income,false
CHI,Channel Islands,Europe & Central Asia,High income,false
CHL,Chile,Latin America & Caribbean,High income,false
CHN,China,East Asia & Pacific,Upper middle income,false
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,false
CLA,Latin America and the Caribbean (IFC classification),Aggregates,Aggregates,true
CME,Middle East and North Africa (IFC classification),Aggregates,Aggregates,true
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,false
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,false
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,false
COL,Colombia,Latin America & Caribbean,Upper middle income,false
COM,Comoros,Sub-Saharan Africa,Lower middle income,false
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,false
CRI,Costa Rica,Latin America & Caribbean,High income,false
CSA,South Asia (IFC classification),Aggregates,Aggregates,true
CSS,Caribbean small states,Aggregates,Aggregates,true
CUB,Cuba,Latin America & Caribbean,Upper middle income,false
CUW,Curacao,Latin America & Caribbean,High income,false
CYM,Cayman Islands,Latin America & Caribbean,High income,false
CYP,Cyprus,Europe & Central Asia,High income,false
CZE,Czechia,Europe & Central Asia,High income,false
DEA,East Asia & Pacific (IDA-eligible countries),Aggregates,Aggregates,true
DEC,Europe & Central Asia (IDA-eligible countries),Aggregates,Aggregates,true
DEU,Germany,Europe & Central Asia,High income,false
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,false
DLA,Latin America & the Caribbean (IDA-eligible countries),Aggregates,Aggregates,true
DMA,Dominica,Latin America & Caribbean,Upper middle income,false
DMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA total)",Aggregates,Aggregates,true
DNK,Denmark,Europe & Central Asia,High income,false
DNS,IDA countries in Sub-Saharan Africa not classified as fragile situations,Aggregates,Aggregates,true
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,false
DSA,South Asia (IDA-eligible countries),Aggregates,Aggregates,true
DSF,IDA countries in Sub-Saharan Africa classified as fragile situations,Aggregates,Aggregates,true
DSS,Sub-Saharan Africa (IDA-eligible countries),Aggregates,Aggregates,true
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,false
EAP,East Asia & Pacific (excluding high income),Aggregates,Aggregates,true
EAR,Early-demographic dividend,Aggregates,Aggregates,true
EAS,East Asia & Pacific,Aggregates,Aggregates,true
ECA,Europe & Central Asia (excluding high income),Aggregates,Aggregates,true
ECS,Europe & Central Asia,Aggregates,Aggregates,true
ECU,Ecuador,Latin America & Caribbean,Upper middle income,false
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,false
EMU,Euro area,Aggregates,Aggregates,true
ERI,Eritrea,Sub-Saharan Africa,Low income,false
ESP,Spain,Europe & Central Asia,High income,false
EST,Estonia,Europe & Central Asia,High income,false
ETH,Ethiopia,Sub-Saharan Africa,Low income,false
EUU,European Union,Aggregates,Aggregates,true
FIN,Finland,Europe & Central Asia,High income,false
FJI,Fiji,East Asia & Pacific,Upper middle income,false
FRA,France,Europe & Central Asia,High income,false
